"source","target","text","flow"
"CD","AO","%flow GWh",10410
"NA","BW","%flow GWh",181
"ZA","LS","%flow GWh",586
"MW","MZ","%flow GWh",521
"ZW","MZ","%flow GWh",520
"AO","NA","%flow GWh",2758
"CD","NA","%flow GWh",16858
"ZM","NA","%flow GWh",140
"BW","ZA","%flow GWh",11365
"LS","ZA","%flow GWh",62
"MZ","ZA","%flow GWh",9850
"NA","ZA","%flow GWh",11644
"SZ","ZA","%flow GWh",16524
"ZW","ZA","%flow GWh",31341
"MZ","SZ","%flow GWh",10024
"ZM","TZ","%flow GWh",48
"CD","ZM","%flow GWh",11866
"NA","ZM","%flow GWh",1284
"BW","ZW","%flow GWh",7706
"MZ","ZW","%flow GWh",6539
"NA","ZW","%flow GWh",5259
"ZM","ZW","%flow GWh",7196
